date,newCases,newDeaths,totalCases,totalDeaths,newVaccines,sevenDayAverageVaccines
1/21/20,1,0,1,0,,
1/22/20,0,0,1,0,,
1/23/20,0,0,1,0,,
1/24/20,1,0,2,0,,
1/25/20,1,0,3,0,,
1/26/20,2,0,5,0,,
1/27/20,0,0,5,0,,
1/28/20,0,0,5,0,,
1/29/20,0,0,5,0,,
1/30/20,1,0,6,0,,
1/31/20,1,0,7,0,,
2/1/20,1,0,8,0,,
2/2/20,3,0,11,0,,
2/3/20,0,0,11,0,,
2/4/20,0,0,11,0,,
2/5/20,1,0,12,0,,
2/6/20,0,0,12,0,,
2/7/20,0,0,12,0,,
2/8/20,0,0,12,0,,
2/9/20,0,0,12,0,,
2/10/20,1,0,13,0,,
2/11/20,0,0,13,0,,
2/12/20,1,0,14,0,,
2/13/20,1,0,15,0,,
2/14/20,0,0,15,0,,
2/15/20,0,0,15,0,,
2/16/20,0,0,15,0,,
2/17/20,10,0,25,0,,
2/18/20,0,0,25,0,,
2/19/20,0,0,25,0,,
2/20/20,2,0,27,0,,
2/21/20,3,0,30,0,,
2/22/20,0,0,30,0,,
2/23/20,0,0,30,0,,
2/24/20,13,0,43,0,,
2/25/20,2,0,45,0,,
2/26/20,15,0,60,0,,
2/27/20,0,0,60,0,,
2/28/20,5,0,65,0,,
2/29/20,5,1,70,1,,
3/1/20,18,2,88,3,,
3/2/20,16,3,104,6,,
3/3/20,21,4,125,10,,
3/4/20,36,2,161,12,,
3/5/20,67,0,228,12,,
3/6/20,83,3,311,15,,
3/7/20,117,4,428,19,,
3/8/20,119,3,547,22,,
3/9/20,201,4,748,26,,
3/10/20,270,5,1018,31,,
3/11/20,245,6,1263,37,,
3/12/20,405,6,1668,43,,
3/13/20,556,7,2224,50,,
3/14/20,674,10,2898,60,,
3/15/20,702,8,3600,68,,
3/16/20,907,23,4507,91,,
3/17/20,1399,26,5906,117,,
3/18/20,2444,45,8350,162,,
3/19/20,4043,50,12393,212,,
3/20/20,5619,65,18012,277,,
3/21/20,6516,83,24528,360,,
3/22/20,8545,98,33073,458,,
3/23/20,10432,121,43505,579,,
3/24/20,10433,206,53938,785,,
3/25/20,14634,269,68572,1054,,
3/26/20,16998,299,85570,1353,,
3/27/20,17330,417,102900,1770,,
3/28/20,21066,530,123966,2300,,
3/29/20,18520,418,142486,2718,,
3/30/20,21469,650,163955,3368,,
3/31/20,24506,936,188461,4304,,
4/1/20,26930,1021,215391,5325,,
4/2/20,29717,1216,245108,6541,,
4/3/20,32318,1391,277426,7932,,
4/4/20,35099,1556,312525,9488,,
4/5/20,25616,1368,338141,10856,,
4/6/20,30916,1526,369057,12382,,
4/7/20,30337,2234,399394,14616,,
4/8/20,31820,2085,431214,16701,,
4/9/20,34699,2120,465913,18821,,
4/10/20,33473,2263,499386,21084,,
4/11/20,31720,2084,531106,23168,,
4/12/20,27143,1681,558249,24849,,
4/13/20,25769,1764,584018,26613,,
4/14/20,26691,2705,610709,29318,,
4/15/20,30033,2752,640742,32070,,
4/16/20,31613,2349,672355,34419,,
4/17/20,31509,2289,703864,36708,,
4/18/20,28398,1951,732262,38659,,
4/19/20,25334,1520,757596,40179,,
4/20/20,27395,1837,784991,42016,,
4/21/20,25514,2672,810505,44688,,
4/22/20,28831,2371,839336,47059,,
4/23/20,33776,2169,873112,49228,,
4/24/20,36741,2132,909853,51360,,
4/25/20,34408,1967,944261,53327,,
4/26/20,26735,1253,970996,54580,,
4/27/20,23197,1442,994193,56022,,
4/28/20,24651,2394,1018844,58416,,
4/29/20,26555,2514,1045399,60930,,
4/30/20,30357,2210,1075756,63140,,
5/1/20,33970,1762,1109726,64902,,
